nome,latitude,longitude,sigla
Reykjahlíð Airport,65.6558,-16.9181,MVA
Siglufjörður Airport,66.137847,-18.908157,SIJ
Stykkishólmur Airport,65.058851,-22.764616,SYK
Þingeyri Airport,65.8703,-23.559999,TEY
Þórshöfn Airport,66.218498,-15.3356,THO
Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,VEY
Vopnafjörður Airport,65.720596,-14.8506,VPN
Baleela Airport,11.1994444444,28.5230555556,BJE
Bahja Airport,19.8730555556,56.0677777778,BJQ
Bentota River Waterdrome,6.431,79.996,BJT
Priština Adem Jashari International Airport,42.5728,21.035801,PRN
Bomai Airport,-6.37316666667,144.637,BMH
Bamburi Airport,-3.983363,39.730982,BMQ
Bamu Airport,-7.8485,143.2433,BMZ
Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146,BNF
Bodinumu Airport,-9.10777777778,147.666722222,BNM
Bundi Airport,-5.742222222220001,145.2275,BNT
Boana Airport,-6.426631,146.826697,BNV
Rurrenabaque Airport,-14.4279,-67.496803,RBQ
Baures Airport,-13.654426,-63.704718,BVL
Brookings Airport,42.0746,-124.290001,BOK
Bosset Airport,-7.237257,141.1063222,BOT
Boang Airport,-3.3834,153.2812,BOV
Batuna Aerodrome,-8.56202777778,158.119305556,BPF
Bartlett Cove Seaplane Base,58.4552,-135.884995,BQV
Pedro Vieira Moreira Airport,-6.8827,-38.61583,CJZ
Glauber de Andrade Rocha Airport,-14.907885,-40.914804,VDC
Alenquer Municipal Airport,-1.917,-54.7231,ALT
Bimini North Seaplane Base,25.767,-79.25,NSB
Bensbach Airport,-8.85805555556,141.259444444,BSP
Besakoa Airport,-15.6725,47.061667,BSV
Betong International Airport,5.79,101.15,BTZ
Bulolo Airport,-7.216286671410001,146.649541855,BUL
Esperadinha Airport,14.864306,-24.746,BVR
Hukuntsi Airport,-23.9897,21.758101,HUK
Bawan Airport,-6.396944444440001,146.881666667,BWJ
Bewani Airport,-3.0216666666700003,141.165277778,BWP
Blue Lagoon Seaplane Base,-16.943,177.368,BXL
Bunsil Airport,-5.7243,147.8667,BXZ
Orsha Airport - Balbasovo Air Base,54.439999,30.2967,TXC
Boundary Airport,64.077678,-141.122088,BYA
Bella Yella Airport,7.36916666667,-9.99372222222,BYL
Beira Lake Seaplane Base,6.9294444444400005,79.85416666670001,BYV
Hector Silva Airstrip,17.269603,-88.776496,BCV
Big Creek Airport,16.519369,-88.407913,BGK
Caye Caulker Airport,17.735015,-88.032862,CUK
Caye Chapel Airport,17.683792,-88.044985,CYC
Corozal Municipal Airport,18.3822,-88.411903,CZH
Dangriga Airport,16.98251,-88.230988,DGA
Independence Airport,16.53456,-88.441615,INB
Melinda Airport,17.004299,-88.304199,MDB
H.E Alfredo Martinez (Tower Hill) Airstrip,18.046766,-88.58387,ORZ
Placencia Airport,16.536957,-88.361511,PLJ
Punta Gorda Airport,16.1024,-88.808296,PND
Sartaneja Airport,18.3561,-88.130798,SJX
John Greif II Airport,17.9139,-87.9711,SPR
Matthew Spain Airport,17.185898,-89.009936,SQS
Santa Cruz Airport,18.2721004486084,-88.456298828125,STU
Silver Creek Airport,16.728338,-88.369174,SVK
Sir Barry Bowen Municipal Airport,17.517239,-88.195775,TZA
Bazaruto Island Airport,-21.5411,35.4729,BZB
Bemolanga Airport,-17.6925,45.0888333333,BZM
Primrose Airport,55.390002,-111.1198,PFM
Saglek Airport,58.474312,-62.653999,YSV
Stuart Island Airstrip,50.409447,-125.131617,YRR
Mary River Aerodrome,71.324167,-79.356944,YMV
Hakai Passage Water Aerodrome,51.669733,-128.08181,YHC
Montague Harbour Seaplane Base,48.89225,-123.39215,YMF
Paradise Skypark Airport,39.71029,-121.616528,PYS
Bedwell Harbour Seaplane Base,48.75,-123.233001709,YBW
Tofino Harbour Seaplane Base,49.155,-125.91,YTP
Nanaimo Harbour Water Aerodrome,49.169813,-123.933845,ZNA
Trail Airport,49.055599,-117.609001,YZZ
Merritt Airport,50.122504,-120.745368,YMB
Campbell River Seaplane Base,50.049999,-125.25,YHH
Whistler/Green Lake Water Aerodrome,50.1436004639,-122.948997498,YWS
Bamfield Seaplane Base,48.835967,-125.137453,YBF
Big Bay Seaplane Base,50.3923,-125.1372,YIG
Chilko Lake (Tsylos Park Lodge) Airport,51.625797,-124.144478,CJH
Pender Harbour Seaplane Base,49.623785,-124.024884,YPT
Ocean Falls Seaplane Base,52.3666992188,-127.717002869,ZOF
Courtenay Airpark,49.679237,-124.98064,YCA
Creston Valley Regional Airport - Art Sutcliffe Field,49.03689956665,-116.49800109863,CFQ
Anahim Lake Airport,52.451501,-125.303776,YAA
Douglas Lake Airport,50.1654600485,-120.171273351,DGF
Fort MacKay/Albian Aerodrome,57.2238998413,-111.418998718,JHL
Tahsis Seaplane Base,49.9166984558,-126.666999817,ZTS
Duncan Airport,48.754534,-123.709702,DUQ
